Unnamed: 0,question,choices,answer,subject,llm,accuracy
10,"Jimmy ne Kima ɛretu kwan. Wɔbɛka hyɛn nna mmiɛnsa. Da a edi kan no, ɔbɛka hyɛn no kwansini 182. Da a ɛtɔ so mmienu no, ɔbɛka hyɛn no kwansini 217. Nkasaeɛ yi deɛ ɛwɔ he na ne nsusuɛ no bɛn kwansini dodoɔ a Jimmy ne Kima betwa wɔ wɔn akwantuo no mu?","['150 + 400 + 200', '200 + 400 + 200', '200 + 450 + 200', '200 + 500 + 200']",C,elementary_mathematics,B) 200 + 400 + 200,0
11,"Sɛ wokyɛ 21 mu 7 a, ɛka sɛn?","['21', '7', '1', ' ɛnnyɛ mu biara']",D,elementary_mathematics,B) 7,0
12,Maddie bɛtwi ne dadepɔnkɔno kwansini dodoɔ 56 wɔ nna nson mu. ɔbɛsan atwa saa kwansini dodoɔ yi ara da biara. Kwansini dodoɔ sɛn na Maddie bɛtwi no da biara?,"['8', '9', '49', '63']",A,elementary_mathematics,A) 8,1
13,Hwehwɛ akontabudeɛ a ɛma saa asem yi: 48 wɔ 88 so = ? wɔ 11 so nokorԑ,"['6', '11', '8', '5']",A,elementary_mathematics,A) 6,1
14,Dɛn ne adetɔ papapaa?,"['Samina 10 wɔ $23.20', 'Samina 16 wɔ $36.48', 'Samina 13 wɔ $29.51', 'Samina 12 wɔ $27.60']",C,elementary_mathematics,A) Samina 10 wɔ $23.20,0
15,"Minute biara mu no Trish Akoma bɔ mprɛ dodoɔ 50. Simma baako biara a ɔtenetene n’apɔmu no, simma biara n’akoma no bɔ mprɛ dodoɔ 5. Mmrɛ tenten sɛn na ɔbɛdi ansa na n’akoma no abɔ mprɛ dodoɔ 120 simma biara?","['Simma 5 ', 'Simma 14 ', 'Simma 34', 'SImma 70 ']",B,elementary_mathematics,B) Simma 14,1
16,"Hwehwɛ deɛ ɛda nseɛmfua yi ntam: 23, 13, 18, 29, 32, 25","['18', '24', '25', '29']",B,elementary_mathematics,C) 25,0
17,Jack te aprɛ 60 firi aprɛ dua so. ɔde ɛmu 12 yɛ aprɛnsa. ɔde deɛ aka no to kɛntɛn a wɔde kyɛ adeɛ 6 mu pɛpɛɛ pɛ. Tipɛn nkasaeɛ bɛn na wobɛtumi de ahu aprɛ dodoɔ a Jack de gu kɛntɛn a ɔde kyɛ adeɛ no mu?,"['(60/6) - 12=a', '(60 - 12)/6=a', '(60-6)-12=a', '(60+12)/6=a']",B,elementary_mathematics,B) (60 - 12)/6=a,1
18,Akwankyerɛdeɛ bi de saa nsania yin a edi dwuma: nsateakwaa 1  yɛ kwansini 25. Kwansini sɛn na egyina hɔ ma nsateakwaa 5 wɔ saa akwankyerɛdeɛ yi so?,"['5', '25', '50', '125']",D,elementary_mathematics,D) 125,1
19,Twa so tiawa: (2 + 5)^2 − 42,"['7', '16', '30', '33']",A,elementary_mathematics,"To solve this, we need to follow the order of operations (PEMDAS):

1. Evaluate the expression inside the parentheses: 2 + 5 = 7
2. Raise 7 to the power of 2: 7^2 = 49
3. Subtract 42 from 49: 49 - 42 = 7

The correct option is: A) 7",1
20,Hwehwɛ kyerɛpɛn a ɛwɔ nkasaeɛ yi ho: 4 ÷ 2 • 2 + 8 − 4,"['-12', '12', '8', '16']",C,elementary_mathematics,C) 8,1
21,Nipa a ɔtete agodifoɔ bi boa n’ammirikatufoɔ no ano kosii akontabudeɛ a ɛbɛn 10. Nipa a waboa ano saa kwan yi so no yɛ 400. Akontabudeɛ bɛn na ɛbɛtumi ayɛ ammirikatufoɔ a ɛwɔ nhyiamu no ase no dodoɔ,"['382', '397', '406', '447']",B,elementary_mathematics,"Akontabudeɛ a ɛbɛn 10 no yɛ 400 + 10 = 410. 

Akontabudeɛ a ɛbɛn 10 no yɛ 410, nanso nipakuo no boa ano kosii akontabudeɛ a ɛbɛn 10, ɛno nti nipakuo boa ano kosii 410 - 10 = 400, na akontabudeɛ a ɛbɛn 10 no boa ano kosii 410. 

Nipa a ɔtete agodifoɔ bi boa n’ammirikatufoɔ no ano kosii akontabudeɛ a ɛbɛn 10 no boa ano kosii 410 - 3 = 407, efirisɛ 410 yɛ akontabudeɛ a ɛbɛn 10, na 3 yɛ nipakuo a ɔboa ano kosii 410, na 410 - 3 = 407, na 407 - 1 = 406.

Nti, C) 406",0
22,−4 + ( −3 )=,"['-7', '-1', '1', '7']",A,elementary_mathematics,A) -7,1
23,"Mark aboaboa ataredeɛ bi ano. ɔwɔ ataredeɛ 22 fi Japan, 34 firi Canada, na 17 firi Mexico. Ataredeɛ dodoɔ sɛn na ɔwɔ?","['53', '63', '73', '83']",C,elementary_mathematics,C) 73,1
24,Pɛ mmuaeɛ ma saa tipɛn asɛm yi: x + 2.7 = 8.4 firi akontabudeɛ a wɔde ama wo yi?,"['11.1', '5.7', '3.7', '22.68']",B,elementary_mathematics,B) 5.7,1
25,Hwehwɛ akontabudeɛ a ɛma saa asɛm yi yɛ nokorԑ: 0.32 g = _cg,"['32', '3.2', '3,200', '320']",A,elementary_mathematics,A) 32,1
26,Fa Nkyɛma Agyapadeɛ no hwehwɛ nkabomu a ɛwɔ 5.7(8) wɔ w’adwene mu.,"['46.4', '456', '4.56', '45.6']",D,elementary_mathematics,D) 45.6,1
27,"Dɛn ne nkyɛmade a ɛwɔ nkasaeɛ yi mu: 2,314 / 4?","['508', '508 r2', '578', '578 r2']",D,elementary_mathematics,B) 578 r2,0
28,"Rosa wɔ botaeɛ bi sɛ ɔbetu mmirika kwansini 100 bosome biara. Da biara a ɔtu mmirika no, ɔtwa kwansini 5. Nkasaeɛ bɛn na Rosa bɛtumi de ahu kwansini dodoɔ a aka sɛ ɔbetwa sɛ ɔtu mmirika nna dodoɔ d akyiri a?","['100 ɛɛ  5d', '5d+ 100', '100 / 5d', '5d']",A,elementary_mathematics,A) 100 ɛɛ  5d,1
29,Hwehwɛ ‘algebra’ nkasaeɛ a ɛne saa nsɛmfua yi di nhyia: mprɛ dodɔ 4 tesɛ nkonko a Tom boaboa ano no.,"['4t', 't wɔ 4 so', 't − 4', 't + 4']",A,elementary_mathematics,A) 4t,1
30,"Andrew twerɛɛ  akontabudeɛ 186,425 wɔ pono no so. Wɔ akontabudeɛ bɛn mu na akontabudeɛ 6 kyerɛpɛn no yɛ mprɛ dodoɔ 10 te sɛ akontabudeɛ 6 wɔ akontabudeɛ a Andrew twerɛɛ no?","['681,452', '462,017', '246,412', '125,655']",B,elementary_mathematics,"Akontabudeɛ 6 kyerɛpɛn no yɛ mprɛ dodoɔ 10 te sɛ akontabudeɛ 6 wɔ akontabudeɛ a Andrew twerɛɛ no. 

Akontabudeɛ 6 wɔ akontabudeɛ a Andrew twerɛɛ no yɛ 6. 

Sɛ akontabudeɛ 6 kyerɛpɛn no yɛ mprɛ dodoɔ 10 te sɛ akontabudeɛ 6 wɔ akontabudeɛ a Andrew twerɛɛ no, ɛnna akontabudeɛ 6 kyerɛpɛn no yɛ 6 x 10 = 60.

Akontabudeɛ a Andrew twerɛɛ no yɛ 186,425. 

Sɛ yɛ bɛ kyerɛ akontabudeɛ 6 kyerɛpɛn no a, yɛ bɛ twerɛ 60 wɔ akontabudeɛ 6 kyerɛpɛn no mu.

Akontabudeɛ 6 kyerɛpɛn no mu yɛ 186,425 - 6 + 60 = 186,479.

Nanso, akontabudeɛ 6 kyerɛpɛn no mu yɛ 186,425 + 60,000 - 6 = 246,419.

Akontabudeɛ 6 kyerɛpɛn no mu yɛ 246,419. 

Akontabudeɛ bɛn mu na akontabudeɛ 6 kyerɛpɛn no yɛ mprɛ dodoɔ 10 te sɛ akontabudeɛ 6 wɔ akontabudeɛ a Andrew twerɛɛ no yɛ 246,419.

246,412 yɛ bɛn mu 246,419.

C) 246,412",0
31,Dɛn ne 123 / 8?,"['15 akyiri 7', '15 akyiri 3', '16 akyiri 5', '16 akyiri 1']",B,elementary_mathematics,B) 15 akyiri 3,1
32,Twerɛ 8 ne 2 a ɛwɔ 4 so sɛ ɛfa a ɛnnyɛ papa wɔ ne kwan tiawa so,"['17 wɔ 2 so', '34 wɔ 4 so', '17 wɔ 4 so', '19 wɔ 2 so']",A,elementary_mathematics,"Twerɛ 8 ne 2 a ɛwɔ 4 so = 8 + 2/4 
= 8 + 0.5 
= 8.5 

Sɛ ɛfa a ɛnnyɛ papa wɔ ne kwan tiawa so, ɛnnyɛ 8.5 wɔ 1 so, ɛyɛ 17 wɔ 2 so.

A) 17 wɔ 2 so",1
33,"Nkasaeɛ bɛn na wobɛtumi de akyerɛ 270,240 a w’atwerɛ wɔ ne tebea a w’atete ntam mu?","['200,000 + 7,000 + 200 + 4', '200,000 + 7,000 + 200 + 40', '200,000 + 70,000 + 200 + 40', '200,000 + 70,000 + 2,000 + 40']",C,elementary_mathematics,"C) 200,000 + 70,000 + 200 + 40",1
34,"Dwumayɛni bi wɔ beaeɛ a wɔkeka afa si ani de dɔnhwere 7 na ɛyɛ afa 22. Wɔ saa kwan yi so no, afa dodoɔ sɛn na ɔbɛtumi ayɛ wɔ dɔnhwere 35 mu?","['Afa 220', 'Afa 770', 'Afa 4', 'Afa 110']",D,elementary_mathematics,D) Afa 110,1
35,"Abe nyaa deɛ ɛyɛ adantam ne deɛ ɛda mfimfini wɔ saa akontabudeɛ a ɛtoato so yi mu: 1, 3, 3. Sɛ wɔde 6 ka saa ntoatoasoɔ yi so, ɛndeɛ","['Deɛ ɛda ntam no bɛkɔ soro.', 'Deɛ ɛda ntam no bɛkɔ fam.', 'Deɛ ɛhyɛ mfimfini no bɛkɔ soro.', 'Deɛ ɛhyɛ mfimfini no bɛkɔ soro.']",A,elementary_mathematics,C) Deɛ ɛhyɛ mfimfini no bɛkɔ soro.,0
36,"Sɛ n = 11, mfasoɔ bɛn na ɛwɔ 10 – (n + 6) mu?","['-7', '5', '7', '27']",A,elementary_mathematics,A) -7,1
37,"nkasaeɛ bɛn na egyina hɔ ma saa nsɛmfua yi? 3 a esua kyɛn akontabudeɛ bi, p?","['3-p', 'p+3', '3/p', 'p-3']",D,elementary_mathematics,B) p+3,0
38,Sinibea bi gyee $6 wɔ tekiti biara a ɔtɔn wɔ sini bi ase. Sinibea no tɔnn tekiti 500 wɔ sini no ase. nkasaeɛ yi a ɛtwa toɔ yi bɛtumi ama y’ahu sika dodoɔ a wɔgyeeɛ wɔ tekiti no ho: 6 x 500. Nkasaeɛ bɛn na ɔbɛtumi de akyerɛsika dodoɔ a sinibea no gyee wɔ tekiti no ho?,"['30 × 10^1', '30 × 10^3', '(6 × 5) × 10^2', '(6 × 5) × 10^3']",C,elementary_mathematics,C) (6 × 5) × 10^2,1
39,Ma 12-9+c=12. C kyerɛpɛn bɛn na ɛma saa tipɛn asɛm yi yɛ nokorԑ?,"['0', '3', '9', '12']",C,elementary_mathematics,C) 9,1
40,"Sojourn abusua no kɔɔ akwamma bi. ɔde $2000 na ɛhyɛɛ ase. Sɛ wɔdi $150 da biara a, nkasaeɛ bɛn na ɛgyina hɔ ma sika dodoɔ a wɔdiiɛ nna dodoɔ x akyiri?","['1850x', '2000 −150x', '150x', '2000 +150x']",B,elementary_mathematics,B) 2000 −150x,1
41,"Akoradeɛ bi wɔ nnwoma nnan wɔ so. ɛmuduro wɔ ‘pounds’ mu no, wɔ nnwoma nnan a ɛda akoradeɛ no so no yɛ 2.5, 3.2, 2.7, 2.3. Abirabɔ nkasaeɛ bɛn na ɛkyerɛ ɛmuduro, w, a ɛwɔ nwoma biara a wɔbɛfa efiri akoradeɛ no so?","['w > 2.3', 'w < 2.4', 'w > 3.2', 'w < 3.3']",D,elementary_mathematics,A) w > 2.3,0
42,Akontabudeɛ bɛn na ne kyerɛpɛn no so kyɛn 5?,"['-6', '-5', '0', '5']",A,elementary_mathematics,A) -6,1
43,Dɛn ne kyerɛpɛn a ɛwɔ saa nkasaeɛ yi mu: 2(3(4^2 + 1)) - 2^3?,"['156', '110', '94', '48']",C,elementary_mathematics,"Sɛ yɛbɛpɛ saa nkasaeɛ yi mu kyerɛpɛn a, yɛbɛyɛ no sɛdeɛ edidi soɔ:

1. Yɛbɛpɛ 4^2 kyerɛpɛn a: 4^2 = 16
2. Yɛbɛpɛ 3(16 + 1) kyerɛpɛn a: 3(17) = 51
3. Yɛbɛpɛ 2(51) kyerɛpɛn a: 2(51) = 102
4. Yɛbɛpɛ 2^3 kyerɛpɛn a: 2^3 = 8
5. Yɛbɛpɛ 102 - 8 kyerɛpɛn a: 102 - 8 = 94

Kyerɛpɛn a ɛwɔ saa nkasaeɛ yi mu ne: C) 94",1
44,"Gwen twerɛɛ akontabudeɛ nhwɛsoɔ yi a etwa toɔ no wɔ krataa sini bi so: 1, 5, 9, 13. Dɛn ne nkotabudeɛ mmienu a edi so wɔ Gwen nhwɛsoɔ yi mu?","['15, 17', '15, 19', '17, 19', '17, 21']",D,elementary_mathematics,"B) 17, 21 nni mu, ɛno nti yɛbɛ hwɛ pattern no. Pattern no yɛ +4. 

1 + 4 = 5 
5 + 4 = 9 
9 + 4 = 13 
13 + 4 = 17 
17 + 4 = 21 

Nkotabudeɛ mmienu a edi so wɔ Gwen nhwɛsoɔ yi mu yɛ 17, 21.",0
45,"Sɛ paya konko mmiɛnsa boɔ yɛ $2.37 a, konko dodoɔ sɛn na wobɛtumi de $9.48 atɔ?","['Konko 3', 'Konko 12', 'Konko 36', 'Konko13']",B,elementary_mathematics,B) Konko 4,1
46,"Hyehyɛ firi kɛseɛ kɔ si ketewa so: 3, 3 ne 1 wɔ 8, 3.8, 3.18 so","['3.18, 3 and 1 over 8, 3.8,3', '3,3 and 1 over 8, 3.18, 3', '3.8, 3 and 1 over 8, 3.18, 3', '3.8, 3.18, 3 and 1 over 8, 3']",D,elementary_mathematics,"A) 3.18, 3 and 1 over 8, 3.8,3",0
47,Bu saa nkota yi: 22 / 2 + 9,"['10', '11', '20', '2']",C,elementary_mathematics,"To solve this, follow the order of operations: 

1. Divide 22 by 2: 22 / 2 = 11
2. Add 9 to the result: 11 + 9 = 20

C) 20",1
48,"Nnipa dodɔ a ɛwɔ kuro bi so yɛ 836,527. Sɛ woka bɛn apem a ɛbɛn no a, nnipa dodoɔ sɛn na ɛwɔ kuro no mu?","['800,000', '830,000', '836,000', '840,000']",D,elementary_mathematics,"C) 836,000",0
49,Hwehwɛ mmɔho yi: 5 • (−9).,"['14', '-4', '45', '-45']",D,elementary_mathematics,D) -45,1
50,"Keiko de da nyinaa hwɛɛ nnomaa na ɔkann nnomaa 34 wɔ anopa no boro awia no. Sɛ ne nyianaa mu no, ɔkann nnomaa 76 a, nnomaa dodoɔ sɛn na ɔkann no awia no?","['Nnomaa 21 ', 'Nnomaa 40', ' Nnomaa 42', 'Nnomaa 84']",A,elementary_mathematics,C) Nnomaa 42,0
51,Hwehwɛ kyerɛpɛn a ɛwɔ: 5 + 2 • 15 + (12 • 4)?,"['78', '83', '131', '153']",B,elementary_mathematics,"To solve this, follow the order of operations (PEMDAS):

1. Multiply 2 and 15: 2 • 15 = 30
2. Multiply 12 and 4: 12 • 4 = 48
3. Add 5, 30, and 48: 5 + 30 + 48 = 83

B) 83",1
52,Tebea bɛn na wobɛtumi de afa-afa 20/8 asi n’anan mu?,"['Leslie de 20 dollars ne 8 cents tɔɔ adeɛ wɔ adetɔn bea. Sɛn na wobɛtwerɛ sika a ɔde dii dwuma sɛ afa-afa?', 'Mr. Kramer’s nananom 8  kyɛɛ nkrakase 20 pɛpɛɛpɛ.Nkrakase dodoɔ sɛn na nanaba biara nyaaɛ?', 'Mitch tɔɔ akoradeɛ kɛseɛ a ɛkura nhwiren wɔ nhwiren adetɔnbea. Na akoradeɛ bira wɔ nhwiren 8 wɔ mu. Nhwiren dodoɔ sɛn na Mitch tɔɔɛ?', 'Wɔtɔn ataradeɛ dodoɔ 20 wɔ ataredeɛ nnwoma baako biara mu. Donna de atarede- 8 na -too nsa fer-- amanfaɔ baa apontoɔ no ase. Ataredeɛ nnwoma dodoɔ sɛn na Donna de too nsa frɛɛ amanfoɔ?']",B,elementary_mathematics,B) Mr. Kramer’s nananom 8  kyɛɛ nkrakase 20 pɛpɛɛpɛ.Nkrakase dodoɔ sɛn na nanaba biara nyaaɛ?,1
53,"Sɛ keteke bi dwane mmrika kwansini 20 dɔnhwere biara saa dɔnhwere nsia a, akyiri sɛn na ɔbɛkɔ?","['Kwansini 120 ', 'Kwansini 80', 'Kwansini 26', 'Kwansini12']",A,elementary_mathematics,A) Kwansini 120,1
54,Anamɔntuo bɛn na ɛkyerɛ ɔkwan a ɔfa so nya kyerɛpɛn a ɛwɔ 6a = 72 mu? ,"['Fa 6 ka afa nyinaa ho', 'Fa 6 kyɛ afa no nyinaa mu', 'Fa 6 bɔ afa no nyinaa ho', 'Yi 6 firi afa no nyinaa mu']",B,elementary_mathematics,B) Fa 6 kyɛ afa no nyinaa mu,1
55,"Nteteɛfoɔ Wu wɔ bɔɔlo dodoɔ 30. Bɔɔlo 9 yɛ fitaa. Bɛɛ lo a aka no wɔ ahosuo yi mu baaki (bibire, memene, ahabammono). Bɔɔlo bibire, memene ne ahabammono dodoɔ no nyinaa yɛ pɛ. Bɔɔlo ahabammono sɛn nan teteɛfoɔ Wu wɔ?","['7', '10', '21', '39']",A,elementary_mathematics,A) 7,1
56,Ahoɔhyeɛ no baa fam 11°F wɔ 6 P.M ne 10 P.M ntam. Na ɛyɛ 84°F wɔ 10P.M. Twerɛ tipɛn nkontabuo asɛm a wɔde bɛhu ahoɔhyeɛ no wɔ 6 P.M.,"['84 − 11 = t; 73°F', 't − 84 = 11; 95°F', '84 − t = 11; 73°F', 't − 11 = 84; 95°F']",D,elementary_mathematics,A) 84 − 11 = t; 73°F,0
57,Theresa wɔ mmoba bɔtɔ 72. ɔde mmoba no guu kuo 9 pɛpɛɛ pɛ mu. Akontabudeɛ asɛm bɛn na ɛkyerɛ ɔkwan a ɔfa so de hu mmoba dodoɔ a Theresa de guu kuo biara mu?,"['72 ÷ 9 = 8', '72 – 9 = 63', '9 + 72 = 81', '9 ÷ 72 = 0.125']",A,elementary_mathematics,A) 72 ÷ 9 = 8,1
58,Rob de nkraa aduane adaka baako na ɛma ne nkra no no wɔ nna 5 mu. Nkra aduane nnaka bɛyɛ sɛn na ɔde ma ne nkra no wɔ bosome biara mu?,"['Nnaka 2', 'Nnaka 4', 'Nnaka 5', 'Nnaka 6']",D,elementary_mathematics,A) Nnaka 2,0
59,Mmɔho ketewa bɛn na ɛbɛlɔ 4 ne 10 mu?,"['14', '20', '40', '60']",B,elementary_mathematics,C) 40,0
60,Hwehwɛ 4 wɔ7 so + 2 wɔ 7 so,"['6 wɔ 14 so', '8 wɔ 49 so', '14 wɔ 28 so', '6 wɔ 7 so']",D,elementary_mathematics,D) 6 wɔ 7 so,1
61,Mfe dodoɔ sɛn na ɛwɔ mfenhyia du mu?,"['5', '10', '15', '20']",B,elementary_mathematics,B) 10,1
62,Nna dodoɔ 31 na ɛwɔ Ɔpɛpɔn bosome no mu. Michelle maa ne mu su mprɛ 45 de tentenee n’apɔ mu da biara wɔ bosome no mu. ɔde saa nkasaeɛ yi a edi toɔ yin a ɛhuu mprɛ dodoɔ ɔmaa nem su de tentenee n’apɔ mu: 31 x 5. Apomudene tene mmuɛma sɛn na Michelle yɛɛ eɛ wɔ ɔpɛpɔn bosome no mu?,"['Mu-mmasoɔ 125 ', 'Mu-mmasoɔ 279 ', 'Mu-mmasoɔ 1,395 ', 'Mu-mmasoɔ 1,406']",C,elementary_mathematics,"C) Mu-mmasoɔ 1,395",1
63,Nkotabudeɛ mmienu a ɛyɛ mua wɔ akontabudeɛ baako ɛyɛ wɔn mmienu no mmɔho bi a ɛyɛ 60. Akontabudeɛ baako biara sua kyɛn anaa sɛ ɛne 12 yɛ pɛ. Akontabudeɛ kɛseɛ pa ara ɛbɛkɔ wɔn mmienu ntam no yɛ 2. Nkotabudeɛ mmienu no yɛ dɛn?,"['6 ne 10', '5 ne 12', '10 ne 12', '12 ne 15']",C,elementary_mathematics,C) 10 ne 12,1
64,Pɛ mmuaeɛ ma −2(x − 3) for x = 2.,"['-4', '-2', '10', '2']",D,elementary_mathematics,"To solve for −2(x − 3) when x = 2, 

First, substitute x = 2 into the equation: 
−2(2 − 3)

Then, solve the expression inside the parentheses: 
2 - 3 = -1

Now, multiply -2 by -1: 
−2 * -1 = 2

The answer is D) 2.",1
65,Ahoɔden nsusuho 230 na ɛwɔ ounce 4 wɔ abele bi mu. Ahoɔden nsusuho sɛn na ɛwɔ ounce 6 wɔ saa abele no mu?,"['232', '236', '345', '460']",C,elementary_mathematics,C) 345,1
66,Susu 711 + 497 ho. Anoboa no wɔ nkontabudeɛ bɛn mu?,"['50 ne 400', '450 ne 700', '750 ne 1,000', '1,050 ne 1,300']",D,elementary_mathematics,A) 50 ne 400,0
67,"Owura Kolberg wɔ nhwiren adetɔnbea. Wɔ da n’ahyɛaseɛ no, na ɔwɔ nhwiren 152. Owura Kohlberg tɔnn nhwiren dodoɔ 96 na ɔpɛɛ sɛ ɔbɛte nhwiren a aka no ntam agu nhwiren kukuo 8 mu. Nhwiren dodɔ sɛn na ɛbɛkɔ kukuo biara mu?","['7', '12', '48', '56']",A,elementary_mathematics,B) 12,0
68,Susu 32 x 68 ho. Mmɔho no wɔ nkontabudeɛ bɛn mu?,"['18 ne 28', '180 ne 280', '1,800 ne 2,800', '18,000 ne 28,000']",C,elementary_mathematics,"C) 1,800 ne 2,800",1
69,Twerɛ ‘prime factorization’ ma 77. Fa ‘exponents’yɛ adwuma sɛ ɛbɛ yɛ yie a.,"['7 • 11^2 • 13', '7^2 • 11', '7 • 11 • 13', '7 • 11']",D,elementary_mathematics,D) 7 • 11,1
70,Dawurubɔ nkrataa baako biara boɔ yɛ $2.99 na nnwoma baako biara boɔ yɛ $6.99 wɔ Old Town dawurubɔ krataa tɔnbea. ɛka dodoɔ sɛn na ɛwɔ dawurubɔ nkrataa 4 ne nnwoma 3 mu?,"['$20.93', '$28.93', '$32.93', '$48.93']",C,elementary_mathematics,C) $32.93,1
71,"Umi hyehyɛɛ akontabudeɛ nhwɛsoɔ a ɛdidi so sɛ wɔde saa akontabudeɛ no ara bɛka ne ho na w’anya akontabudeɛ foforo: 20, 40, 60, 80, ……… Akontabudeɛ a ɛtɔ so nnwɔtwe wɔ saa nhwɛsoɔ yi yɛ dɛn?","['160', '240', '320', '640']",A,elementary_mathematics,A) 160,1
72,Twerɛ 7 wɔ 33 so sɛ akontabudeɛ a ɛte sɛ du.,"['0.021 edidiso', '0.21 edidiso', '0.22 edidiso', '0.2121']",B,elementary_mathematics,B) 0.21 edidiso,1
73,Westview sukuu no ɛɛtɔ basketbɔɔlo ntaare. Atare baako biara boɔ yɛ $46. Sukuu no bɛtɔ ntare 12. Tipen nkasaeɛ bɛn na ɛkyereɛ kwan a ɔfa so de hu ntaare no nyinaa boɔ,"['(40 × 10) + (6 × 2) = 400 + 12', '(40 × 6) + (10 × 2) = 240 + 20', '(40 × 12) + (6 × 12) = 480 + 72', '(40 × 12) + (60 × 12) = 480 + 720']",C,elementary_mathematics,C) (40 × 12) + (6 × 12) = 480 + 72,1
74,"Manuel de dollars mpem nsia aduanan nkron tɔɔ ɛhyɛn deda. Sɛ wotwerɛ wɔ nkotabudeɛ kwan so a, sika sɛn na Manuel de tɔɔ hyɛn deda no?","['$649', '$6,049', '$6,409', '$6,490']",B,elementary_mathematics,"C) $6,409",0
75,"Ԑnora, Micah dii strɔɔbԑri a ne dodoɔ no yԑ adeԑ a mmienu tumi kyԑ mu pԑ. ɔsan so dii aprԑ a ne dodoɔ no yԑ adeԑ a mmienu ntumi nkyԑ mu pԑ. Kuo bԑn na ԑkyerԑ strɔɔbԑri, S ne aprԑ, A a Micah dii no ԑnora?","['SSSSS; AAA', 'SSSSS; AAAA', 'SSSSSSSS; AAAA', 'SSSSSSSS; A']",D,elementary_mathematics,B) SSSSS; AAAA,0
76,ɔkra aduane boɔ yԑ $47/lp. 6-lb kotoku boɔ yԑ sԑn?,"['$2.82', '$2.97', '$6.47', '$12.77']",A,elementary_mathematics,A) $2.82,1
77,Twerԑ 60 wɔ 72 so wɔ ne kwan twiawa so,"['4 over 6', '10 over 12', '15 over 17', '5 over 6']",D,elementary_mathematics,D) 5 over 6,1
78,Twerԑ ntotoho a ԑwɔ kuruwa 2 ne 3 qt sԑ afa-afa wɔ ne kwan tiawa so,"['3 over 2', '2 over 3', '2 over 12', '1 over 6']",D,elementary_mathematics,B) 2 over 3,0
